"team","abbrev","color"
"Baltimore Ravens","BAL","#241773"
"Cincinnati Bengals","CIN","#FB4F14"
"Cleveland Browns","CLE","#311D00"
"Pittsburgh Steelers","PIT","#FFB612"
"Buffalo Bills","BUF","#00338D"
"Miami Dolphins","MIA","#008E97"
"New England Patriots","NE","#002244"
"New York Jets","NYJ","#125740"
"Houston Texans","HOU","#03202F"
"Indianapolis Colts","IND","#002C5F"
"Jacksonville Jaguars","JAX","#101820"
"Tennessee Titans","TEN","#0C2340"
"Denver Broncos","DEN","#FB4F14"
"Kansas City Chiefs","KC","#E31837"
"Las Vegas Raiders","LV","#000000"
"Los Angeles Chargers","LAC","#0080C6"
"Chicago Bears","CHI","#0B162A"
"Detroit Lions","DET","#0076B6"
"Green Bay Packers","GB","#203731"
"Minnesota Vikings","MIN","#4F2683"
"Dallas Cowboys","DAL","#003594"
"New York Giants","NYG","#0B2265"
"Philadelphia Eagles","PHI","#004C54"
"Washington Commanders","WAS","#5A1414"
"Atlanta Falcons","ATL","#A71930"
"Carolina Panthers","CAR","#0085CA"
"New Orleans Saints","NO","#D3BC8D"
"Tampa Bay Buccaneers","TB","#D50A0A"
"Arizona Cardinals","ARI","#97233F"
"Los Angeles Rams","LA","#003594"
"San Francisco 49ers","SF","#AA0000"
"Seattle Seahawks","SEA","#002244"
"football","football","#AD6C05"
